Index,Title,Content
2,Atalaya del Cañavate,Atalaya del Cañavate Cuencako udalerria da La Mancha eskualdean dagoena 2009ko urtarrilaren 1eko erroldaren arabera 110 biztanle zituen  Ikus gainera  Cuencako udalerrien zerrenda  Kanpo estekak  Gaztelaniaz Udalaren webgunea
3,Graptemys barbouri,Graptemys barbouri Graptemys generoko animalia da Narrastien barruko Emydidae familian sailkatuta dago  Erreferentziak   Ikus gainera  Graptemys Emydidae  Kanpo estekak  TIGR Reptile Database in Species 2000 and ITIS Catalogue of Life 2011 Annual Checklist
4,2009ko L'Aquilako lurrikara,2009ko LAquilako lurrikara 2009ko apirilaren 6an gertatu zen Italiar penintsularen erdialdean dagoen Abruzzo eskualdean momentu magnitudearen eskalan 63 graduko balioa izan zuena 67 gradukoa Richter eskalan 2009ko urtarrilaz geroztik ehun inguru lurrikara txikiren ondoren gertatu zen hau horien artean 40 graduko bat martxoaren 30ean Kalterik gehientsuena LAquila herrian gertatu zen Lurrikara honek 260 hildako utzi zituen gutxienez honenbestez ia 30 urtetan Italian hildako gehien utzitako lurrikara izan zelarik  Estatuhileta  2009ko apirilaren 10eko goizean Ostiral Santuan estatuhileta ospatu zen lurrikararen hildakoen omenez Bertara Silvio Berlusconi Italiako lehen ministroa eta Giorgio Napolitano presidentea joan ziren  Erreferentziak   Kanpo estekak 
5,Villabate,Villabate Italiako udalerri bat da Palermoko probintzian kokatuta dago Sizilia eskualdean 20051 biztanle ditu 38 kilometro koadroko azaleran banatuta  Mugakideak  Villabatek honako udalerri hauekin egiten du muga MisilmeriPalermoFicarazzi  Kanpo estekak 
6,Pteropsaron incisum,Pteropsaron incisum Pteropsaron generoko animalia da Arrainen barruko Percophidae familian sailkatzen da  Banaketa   Erreferentziak   Ikus gainera  Pteropsaron Percophidae  Kanpo estekak  FishBaseorg
7,Val Terbi,Val Terbi Suitzako udalerria da Jura kantonamenduan dago Delémont barrutia barrutian 2014an 3202 biztanle zituen 3886 kilometro koadrotan banatuta  Mugakideak  Honako udalerri hauekin egiten du muga  Kanpo estekak  CourrendlinCourchapoixMervelierCourroux
8,Philip Freneau,Philip Morin Freneau New York 1752ko urtarrilaren 2  Freehold 1832ko abenduaren 18 Estatu Batuetako olerkaria eta kazetaria izan zen Familia higanot batean jaio zen Independentziarako Gerran abertzaleen aldeko lanak idatzi zituen Gage jeneralaren bakarrizketa 1775 Gage jeneralaren aitorpenak 1775 Britainiarrek preso hartu zuten eta gertakari horretan oinarri hartuta idatzi zuen Itsasotiko presondegi britainiarra 1781 National Gazetteko idazlea izan zen Hamiltonen finantzapolitikari eraso zion eta Jeffersonen alde agertu zen Umorezko lanak idatzi zituen Soldadu mozkorra eta Ameriketako indiarren egoerari buruz idatzitako lehen lana ere harena izan zen Indiarren hilerria Izadiaz Ezkeraihen basatia Erle bat dela eta eta heriotzaz ere idatzi zuen erromantizisten ikusmoldea eredu zuela  Erreferentziak 
9,Orthochromis polyacanthus,Orthochromis polyacanthus Orthochromis generoko animalia da Arrainen barruko Actinopterygii klasean sailkatzen da Cichlidae familian  Banaketa   Erreferentziak   Ikus gainera  Orthochromis Cichlidae  Kanpo estekak  FishBaseorg
10,Liudi Invalidy,Ljudi Invalidi idazkera zirilikoz Люди Инвалиды euskaraz Elbarriak tATu taldearen laugarren musika albuma da 2005eko urriaren 19an argitaratua izan zen Errusia Mexiko Polonia Txekiar Errepublika eta Ukraina eta Bielorrusia bezalako SESB ohiko herrialdeetan Platinozko Disko bat irabazi zuen Errusian Dangerous and Moving diskoaren errusierazko bertsioa da Azaroaren 21ean Errusiako Komi Errepublikak elegitea jarri zion taldeari errusierazko abesti baten izenburuagatik Lyudi Invalidy Elbarriak Abesti honek honako hau dio Elbarriek ez dakite zer den gizaki izatea Beltzaileak dira gizakien itsuran Ez dira bizi funtzionatu egin dute Hala ere bideoklipean agertzen eta abeslariek esan zutenez ez dira gaitasun fisiko murritzak dituzten pertsonetaz ari gizakion morala arima eta sentimenduak ez dituzten pertsonetaz baizik   Diskoko abestiak   Zerrendetako postuak  Ljudi Invalidi singleak halaber arrakasta handia izan zuen Ekialdeko Europa osoan  Ikus gainera   Kanpo estekak  Myspace  Erreferentziak 
11,Cigole,Cigole Italiako udalerri bat da Bresciako probintzian kokatuta dago Lombardia eskualdean 1544 biztanle ditu 993 kilometro koadroko azaleran banatuta  Mugakideak  Cigolek honako udalerri hauekin egiten du muga LenoManerbioMilzanoPavone del MellaSan Gervasio Bresciano  Kanpo estekak 
12,Hino (Tokio),Hino japonieraz 日野市 Hinoshi Tokio prefeturako mendebaldean dagoen hiria da 2010eko erroldaren arabera 2753 km²tan 182092 biztanle zeuden  Geografia  Tama ibaiaren alubioiaren eta Tama muinoen artean zabaltzen den hiria da  Historia  1893an Hinojuku herria Tokioren menpe gelditu zen eta Hino izena hartu zuen 1901 eta 1958an inguruko herriak hartuz lurrak zabaldu zituen 1963an hiri estatusa lortu zuen Gaur egun Tokioko lohiria bihurtu da  Ondasun nabarmenak  Tokioko lau unibertsitatetako kanpusak daude Hinon Tama zoologikoa  Hiri senidetuak  Redlands California AEB  Kanpo estekak  JaponierazIngelesez Hinoko webgune ofiziala
13,Cowley (Wyoming),Cowley Ameriketako Estatu Batuetako inkorporatutako herri bat da Big Horn konderrian kokatuta dago Wyoming estatuan 655 biztanle ditu 2196204 kilometro koadroko azaleran banatuta  Ikus gainera  Big Horn konderrian  Kanpo estekak 
14,Nová Ves u Jarošova,Nová Ves u Jarošova Txekiar Errepublikako udalerri bat da 69 biztanle ditu eta 238 kilometro koadroko azalera Svitavyko barrutian dago  Historia  Udalerriaren lehen aipamen idatzia 1304 urtean egin zen  Kanpo estekak 
15,Camacan,Camacan Brasilgo udalerri bat da Bahiako estatuan kokatua 22578 biztanle ditu 584848 km²ko eremuan  Ikus gainera  Bahiako estatua  Kanpo estekak 
16,Mercedes Romero Abella,Mercedes Romero Abella Cee Coruña 1907ko ekainaren 27a  Aranga 1936ko azaroaren 19a  frankismoak errepresaliatutako galiziar irakasle errepublikanoa izan zen  Ibilbidea  Dolores Abella Recamán eta Manuel Romero Castroren alaba Gaztetan Corcubiónen bizi izan zen eta aitak argazkilari gisa lan egiten zuen 1922an Coruñan hasi zituen irakasle ikasketak eta 1926an amaitu zituen Coruñako Langileen Sindikatu Orokorreko UGT Irakasleen Foru Sindikatuko kidea izan zen eta bertako presidentea1931n Francisco Mazariegos Martínezekin ezkondu zen Banco Pastoreko idazkaria eta UGTko sindikalista zenarekin 1936an Coruñako Monelos auzoko irakaslea zen Romero eta Hezkuntza Langileen Espainiako Federazioko presidentea Frankistek bere senarra exekutatu ondoren Ameriketara emigratzeko tramiteak egiten saiatzen ari zenean atxilotu egin zuten Bortxatu eta torturatu ostean La Castellanako putzuan Aranga fusilatu zuten 1936ko azaroaren 19an Vilarrasoko hobi komun batean lurperatu zuten   Ikus gainera  Errepresioa frankista Espainiako erbeste errepublikarra Espainiako Gerra Zibilaren biktimak  Bibliografia  Dicionario de Mulleres Galegas Edicións A Nosa Terra ISBN 9788483411469  Erreferentziak   Kanpo estekak  Mercedes Romero Abella Izenak eta Ahotsak webgunean Marco Aurora Mulleres eta memoria historikoa Mulleresen albuma CCG  Errepresio frankista eskualdean Fervenzases
